,,,,,,
NATIONAL ELECTRONIC FUND TRANSFER (NEFT) - MARCH 2017,,,,,
Sr. No.,BANK,TOTAL OUTWARD DEBITS,,RECEIVED INWARD CREDITS,
,,NO. OF TRANSACTIONS,AMOUNT (Rs. Million),NO. OF TRANSACTIONS,AMOUNT (Rs. Million)
112,PUNJAB AND MAHARASHTRA CO BANK,48071,3736.94,159203,6423.66
113,PUNJAB AND SIND BANK,237067,20838.61,524053,43528.75
114,PUNJAB NATIONAL BANK,4330267,319495.00,10310172,612324.00
115,Pragathi Krishna Gramin Bank,80946,9436.75,213031,8745.93
116,RABOBANK INTERNATIONAL,1646,1287.47,513,3710.01
117,RAJGURUNAGAR SAHAKARI BANK LTD,7587,447.01,12070,631.64
118,RAJKOT NAGARIK SAHAKARI BANK LTD,9634,782.96,21723,996.57
119,"RBI,PAD",10013479,1332410.00,125621,118250.00
120,RBL BANK LTD,804189,44473.48,248238,52091.97
121,SAMARTH SAHAKARI BANK LTD SOLAPUR,2985,137.93,2067,192.28
122,SARASWAT CO-OP BANK LTD.,224113,20885.71,456068,37659.96
123,SBER BANK,122,45.71,26,21.85
124,SEVA VIKAS COOPERATIVE BANK LTD,6139,314.00,20514,1206.05
125,SHAMRAO VITHAL CO-OP BANK LTD,158496,12209.43,250375,16255.87
126,SHIKSHAK SAHAKARI BANK LTD,4211,744.53,5547,411.35
127,SHINHAN BANK,18140,5969.48,8502,7003.66
128,SHIVALIK MERCANTILE CO-OP BANK,5851,467.20,4068,238.72
129,SHRI CHHATRAPATI SHAHU URBAN COOP B,10146,571.35,7064,567.35
130,SOCIETE GENERALE,7209,6778.16,561,4874.48
131,SOLAPUR JANATA SAHAKARI BANK LTD,8972,1534.28,15288,1068.26
132,SOUTH INDIAN BANK,616168,44208.34,842819,52463.61
133,STANDARD CHARTERED BANK,3303325,387806.00,1151158,397679.00
134,STATE BANK OF BIKANER AND JAIPUR,5783450,121397.00,2234124,78650.95
135,STATE BANK OF HYDERABAD,3552004,247899.00,2828370,175719.00
136,STATE BANK OF INDIA,27783285,2425180.00,35520379,2106610.00
137,STATE BANK OF MAURITIUS,733,516.79,684,536.61
138,STATE BANK OF MYSORE,744331,50472.07,1373411,82279.61
139,STATE BANK OF PATIALA,1038417,89367.60,977529,83799.35
140,STATE BANK OF TRAVANCORE,1078583,58335.37,2835872,109240.00
141,SUMITOMO MITSUI BANKING CORPORATION,5591,1716.30,688,21988.56
