,,,,,,
,NATIONAL ELECTRONIC FUND TRANSFER (NEFT) - SEPTEMBER 2016,,,,,
,Sr. No.,BANK,TOTAL OUTWARD DEBITS,,RECEIVED INWARD CREDITS,
,,,NO. OF TRANSACTIONS,AMOUNT (Rs. Million),NO. OF TRANSACTIONS,AMOUNT (Rs. Million)
,118,SAMARTH SAHAKARI BANK LTD SOLAPUR,993,74.56,167,20.51
,119,SARASWAT CO-OP BANK LTD.,131546,12659.86,272079,23164.44
,120,SBER BANK,91,84.19,8,4.10
,121,SEVA VIKAS COOPERATIVE BANK LTD,3709,215.88,7173,937.23
,122,SHAMRAO VITHAL CO-OP BANK LTD,79107,6523.92,135337,9416.24
,123,SHIKSHAK SAHAKARI BANK LTD,2097,2489.79,2722,262.50
,124,SHINHAN BANK,12008,3582.67,5785,4214.78
,125,SHIVALIK MERCANTILE CO-OP BANK,3092,219.33,1348,66.46
,126,SHRI CHHATRAPATI SHAHU URBAN COOP B,3458,194.65,1279,206.45
,127,SOCIETE GENERALE,5317,3777.81,473,860.14
,128,SOLAPUR JANATA SAHAKARI BANK LTD,3932,444.92,8989,293.30
,129,SOUTH INDIAN BANK,320615,28856.54,484310,27629.43
,130,STANDARD CHARTERED BANK,2650649,312443.05,902034,263846.66
,131,STATE BANK OF BIKANER AND JAIPUR,4618628,53273.43,1671817,45447.90
,132,STATE BANK OF HYDERABAD,2568181,86722.68,1581481,82902.38
,133,STATE BANK OF INDIA,17229978,1479726.94,23780331,1515101.71
,134,STATE BANK OF MAURITIUS,514,348.98,462,345.96
,135,STATE BANK OF MYSORE,380518,29216.54,875571,43094.19
,136,STATE BANK OF PATIALA,590364,52213.27,650863,47438.59
,137,STATE BANK OF TRAVANCORE,687204,50143.04,2193316,60166.15
,138,SUMITOMO MITSUI BANKING CORPORATION,3760,2542.36,473,4443.78
,139,SURAT DISTRICT COOPERATIVE BANK Ltd,5787,558.59,8775,400.67
,140,SURAT NATIONAL CO-OP BANK LTD,2641,150.80,2454,105.23
,141,SURAT PEOPLES COOPERATIVE BANK,6024,495.95,23318,1319.18
,142,SUTEX COOP BANK,2720,188.31,8633,353.75
,143,SYNDICATE BANK,778362,100395.39,2073751,112656.69
,144,TAMIL NADU STATE APEX COOP BANK,31643,1360.26,26424,1271.22
,145,TAMILNADU MERCANTILE BANK,232319,20184.64,313136,19579.48
,146,THANE BHARAT SAHAKARI BANK LTD,2892,703.97,9157,546.13
,147,THANE DISTRICT CENTRAL COOP BANK LT,6252,1305.65,16229,417.08
,148,THANE JANATA SAHAKARI BANK LTD,36377,2898.72,80376,5096.42
,149,THE A. P. MAHESH URBAN CO-OP BANK L,6336,1783.19,10763,782.52
,150,THE AP STATE COOP BANK LTD,19880,2573.51,16595,2985.32
,151,THE GUJARAT STATE CO-OP BANK LTD,20444,1466.36,43098,4014.99
,152,THE HASTI CO-OP. BANK LTD.,1686,100.42,545,42.56
,153,THE KANGRA CENTRAL COOP BANK LTD,16464,853.73,27023,1934.68
,154,THE KANGRA CO OPERATIVE BANK LTD,1696,322.11,5916,161.69
,155,THE NASIK MERCHANTS CO-OP BANK LTD.,8680,521.44,8974,516.90
,156,THE PANDHARPUR URBAN CO-OP BANK,889,52.96,290,112.67
,157,THE RAJASTHAN ST. COOP. BANK LTD,13460,1325.74,199696,750.76
,158,THE ROYAL BANK OF SCOTLAND N.V,10181,4554.22,7861,2186.38
,159,THE SAHEBRAO DESHMUKH COOP BANK LTD,2071,175.03,4676,313.46
,160,THE VARACHHA CO-OP. BANK LTD,4230,904.05,24491,512.31
,161,THE VISHWESHWAR SAHAKARI BANK LTD,5024,694.84,8641,637.10
,162,THE ZOROASTRIAN CO-OP BANK LTD,1943,159.67,3082,319.93
,163,TUMKUR GRAIN MERCHANTS COOP BANK,2660,151.96,2066,213.42
,164,The Gadchiroli Dist Co-Op Bank,2405,59.57,5175,70.82
,165,UCO BANK,505630,47206.54,1784290,61124.71
,166,UNION BANK OF INDIA,1539319,155774.07,3368699,212766.22
,167,UNITED BANK OF INDIA,807106,34936.51,1993859,55962.89
,168,UNITED OVERSEAS BANK LTD,141,1059.35,47,169.48
,169,VASAI VIKAS SAHAKARI BANK LTD,2109,151.40,6033,412.23
,170,VIJAYA BANK,304007,40595.49,981347,53017.79
,171,WEST BENGAL STATE COOPERATIVE BANK,14038,619.32,136416,3384.08
,172,WESTPAC BANKING CORPORATION,250,25.30,16,3022.13
,173,WOORI BANK,1076,721.91,231,703.74
,174,YES BANK,4448639,171863.19,924500,202049.34
,175,ZILA SAHKARI BANK LTD GHAZIABAD,1295,128.33,6931,134.43
,,TOTAL,120147454,9880165.11,120147454,9880165.11
,,Total (No. of transactions in mn and Amount in bn),120.15,9880.17,120.15,9880.17
