,,,,,,
,NATIONAL ELECTRONIC FUND TRANSFER (NEFT) - JUNE 2016,,,,,
,Sr. No.,BANK,TOTAL OUTWARD DEBITS,,RECEIVED INWARD CREDITS,
,,,NO. OF TRANSACTIONS,AMOUNT (Rs. Million),NO. OF TRANSACTIONS,AMOUNT (Rs. Million)
,134,STATE BANK OF TRAVANCORE,747209,43632.78,1356254,58375.66
,135,SUMITOMO MITSUI BANKING CORPORATION,3873,2113.04,437,2535.27
,136,SURAT DISTRICT COOPERATIVE BANK Ltd,3279,287.63,7727,433.71
,137,SURAT NATIONAL CO-OP BANK LTD,1220,96.12,1519,83.55
,138,SURAT PEOPLES COOPERATIVE BANK,6023,399.98,17410,1102.14
,139,SUTEX COOP BANK,2627,160.33,6405,330.52
,140,SYNDICATE BANK,757098,90625.43,1934263,92146.65
,141,TAMIL NADU STATE APEX COOP BANK,37677,1448.21,27972,2069.91
,142,TAMILNADU MERCANTILE BANK,233150,28884.60,317611,21883.80
,143,THANE BHARAT SAHAKARI BANK LTD,3325,709.11,8800,529.84
,144,THANE DISTRICT CENTRAL COOP BANK LT,8106,755.65,31435,895.79
,145,THANE JANATA SAHAKARI BANK LTD,33689,2779.01,76091,4406.44
,146,THE A. P. MAHESH URBAN CO-OP BANK L,6116,2075.16,10654,783.06
,147,THE AP STATE COOP BANK LTD,17797,1213.27,34589,1798.42
,148,THE GUJARAT STATE CO-OP BANK LTD,18959,1805.13,32781,3693.98
,149,THE HASTI CO-OP. BANK LTD.,2158,139.06,529,43.08
,150,THE KANGRA CENTRAL COOP BANK LTD,19081,657.40,26118,1239.87
,151,THE KANGRA CO OPERATIVE BANK LTD,1837,344.10,5880,144.31
,152,THE NASIK MERCHANTS CO-OP BANK LTD.,9555,574.68,8483,628.26
,153,THE PANDHARPUR URBAN CO-OP BANK,773,52.11,214,17.36
,154,THE RAJASTHAN ST. COOP. BANK LTD,12176,2363.71,286447,771.76
,155,THE ROYAL BANK OF SCOTLAND N.V,113961,10894.22,57045,5961.11
,156,THE SAHEBRAO DESHMUKH COOP BANK LTD,1915,179.35,4266,209.21
,157,THE VARACHHA CO-OP. BANK LTD,3933,733.48,14869,766.77
,158,THE VISHWESHWAR SAHAKARI BANK LTD,5272,514.10,8272,635.30
,159,THE ZOROASTRIAN CO-OP BANK LTD,1673,84.82,3271,213.70
,160,TUMKUR GRAIN MERCHANTS COOP BANK,2778,175.52,1897,231.20
,161,The Gadchiroli Dist Co-Op Bank,2488,60.83,106500,160.81
,162,UCO BANK,484956,42272.86,1719621,56420.70
,163,UNION BANK OF INDIA,1514311,112934.24,3274159,213426.87
