,,,,,,
,NATIONAL ELECTRONIC FUND TRANSFER (NEFT) - JULY 2016,,,,,
,Sr. No.,BANK,TOTAL OUTWARD DEBITS,,RECEIVED INWARD CREDITS,
,,,NO. OF TRANSACTIONS,AMOUNT     (Rs. Million),NO. OF TRANSACTIONS,AMOUNT       (Rs. Million)
,114,"RBI,PAD",4485396,346823.27,16428,36580.45
,115,RBL BANK LTD,328379,21061.13,123382,28689.67
,116,SAMARTH SAHAKARI BANK LTD SOLAPUR,1023,59.00,155,35.96
,117,SARASWAT CO-OP BANK LTD.,126536,12196.40,259359,20942.04
,118,SBER BANK,92,29.00,29,13.31
,119,SEVA VIKAS COOPERATIVE BANK LTD,3559,200.04,6851,570.68
,120,SHAMRAO VITHAL CO-OP BANK LTD,77849,5934.19,131927,9251.35
,121,SHIKSHAK SAHAKARI BANK LTD,2341,3869.18,2687,341.52
,122,SHINHAN BANK,12890,2661.41,4905,3468.46
,123,SHIVALIK MERCANTILE CO-OP BANK,2611,188.70,891,36.61
,124,SHRI CHHATRAPATI SHAHU URBAN COOP B,3463,198.58,1321,192.71
,125,SOCIETE GENERALE,5287,3115.11,336,1972.81
,126,SOLAPUR JANATA SAHAKARI BANK LTD,4058,597.85,6414,282.99
,127,SOUTH INDIAN BANK,318419,24745.05,509566,27225.14
,128,STANDARD CHARTERED BANK,2554061,263029.08,897202,219821.44
,129,STATE BANK OF BIKANER AND JAIPUR,4646560,41038.09,1620596,40791.21
,130,STATE BANK OF HYDERABAD,2104124,87093.89,1456622,88116.73
,131,STATE BANK OF INDIA,16829622,1116427.47,21710751,1160525.33
,132,STATE BANK OF MAURITIUS,611,292.66,445,136.27
,133,STATE BANK OF MYSORE,381795,27543.27,748677,37828.64
,134,STATE BANK OF PATIALA,611198,55455.72,600657,35431.24
,135,STATE BANK OF TRAVANCORE,712399,37883.50,1616206,59746.38
,136,SUMITOMO MITSUI BANKING CORPORATION,3766,1013.67,465,1730.74
,137,SURAT DISTRICT COOPERATIVE BANK Ltd,2957,228.95,7711,400.66
,138,SURAT NATIONAL CO-OP BANK LTD,1260,120.04,1495,109.00
,139,SURAT PEOPLES COOPERATIVE BANK,5865,382.51,18205,1005.02
,140,SUTEX COOP BANK,2577,164.38,6820,345.96
,141,SYNDICATE BANK,752682,90871.39,1884775,90097.31
,142,TAMIL NADU STATE APEX COOP BANK,32787,1210.25,23787,1825.77
,143,TAMILNADU MERCANTILE BANK,225099,21269.96,311900,21042.24
,144,THANE BHARAT SAHAKARI BANK LTD,3384,480.19,9011,480.89
,145,THANE DISTRICT CENTRAL COOP BANK LT,6795,1299.33,28355,821.57
,146,THANE JANATA SAHAKARI BANK LTD,35355,2544.14,78145,4453.15
,147,THE A. P. MAHESH URBAN CO-OP BANK L,6281,1774.34,10583,859.52
,148,THE AP STATE COOP BANK LTD,19017,1283.96,22207,6765.88
,149,THE GUJARAT STATE CO-OP BANK LTD,17949,1596.97,36408,3866.80
,150,THE HASTI CO-OP. BANK LTD.,1703,107.91,546,35.68
,151,THE KANGRA CENTRAL COOP BANK LTD,17869,604.83,31859,1042.18
,152,THE KANGRA CO OPERATIVE BANK LTD,1679,210.94,5897,163.54
,153,THE NASIK MERCHANTS CO-OP BANK LTD.,9644,526.50,8430,579.57
,154,THE PANDHARPUR URBAN CO-OP BANK,819,72.70,261,38.22
,155,THE RAJASTHAN ST. COOP. BANK LTD,10828,907.28,200269,681.12
,156,THE ROYAL BANK OF SCOTLAND N.V,97465,15118.03,38777,4177.67
,157,THE SAHEBRAO DESHMUKH COOP BANK LTD,2007,123.25,4459,251.08
,158,THE VARACHHA CO-OP. BANK LTD,4441,535.76,17037,485.89
,159,THE VISHWESHWAR SAHAKARI BANK LTD,5208,603.89,8544,602.44
,160,THE ZOROASTRIAN CO-OP BANK LTD,1835,163.85,2984,247.30
,161,TUMKUR GRAIN MERCHANTS COOP BANK,2779,160.28,1955,159.06
,162,The Gadchiroli Dist Co-Op Bank,2444,81.33,82088,91.08
,163,UCO BANK,465980,41525.52,1582666,56159.00
,164,UNION BANK OF INDIA,1460293,114436.42,3239205,220010.45
,165,UNITED BANK OF INDIA,752908,33744.66,1635229,51496.72
,166,UNITED OVERSEAS BANK LTD,140,40.12,63,131.58
,167,VASAI VIKAS SAHAKARI BANK LTD,2066,124.98,5804,281.47
,168,VIJAYA BANK,350586,30684.28,895656,51245.34
,169,WEST BENGAL STATE COOPERATIVE BANK,16942,483.93,88579,2727.31
,170,WESTPAC BANKING CORPORATION,262,38.24,22,36.96
,171,WOORI BANK,826,153.32,225,574.26
,172,YES BANK,4585499,179322.60,1042593,151520.88
,173,ZILA SAHKARI BANK LTD GHAZIABAD,904,105.49,4442,103.59
,,Total,113480913,8145387.85,113480913,8145387.85
,,Total (No. of transactions in mn and Amount in bn),113.48,8145.39,113.48,8145.39
