,,,,,,
,NATIONAL ELECTRONIC FUND TRANSFER (NEFT) - MAY 2016,,,,,
,Sr. No.,BANK,TOTAL OUTWARD DEBITS,,RECEIVED INWARD CREDITS,
,,,NO. OF TRANSACTIONS,AMOUNT (Rs. Million),NO. OF TRANSACTIONS,AMOUNT (Rs. Million)
,139,SUTEX COOP BANK,2450,187.52,6105,322.89
,140,SYNDICATE BANK,791957,72742.99,1972066,94150.15
,141,TAMIL NADU STATE APEX COOP BANK,29354,1414.25,23175,1704.16
,142,TAMILNADU MERCANTILE BANK,219307,18798.33,303081,19468.39
,143,THANE BHARAT SAHAKARI BANK LTD,3062,381.48,8223,456.42
,144,THANE DISTRICT CENTRAL COOP BANK LT,5426,673.03,22556,382.93
,145,THANE JANATA SAHAKARI BANK LTD,31772,2352.36,72909,4164.86
,146,THE A. P. MAHESH URBAN CO-OP BANK L,5816,1942.56,9943,718.42
,147,THE AP STATE COOP BANK LTD,17853,793.62,59870,3277.86
,148,THE GUJARAT STATE CO-OP BANK LTD,18248,1805.08,38423,3478.48
,149,THE HASTI CO-OP. BANK LTD.,1768,109.93,436,43.75
,150,THE KANGRA CENTRAL COOP BANK LTD,16217,535.71,25619,1342.79
,151,THE KANGRA CO OPERATIVE BANK LTD,1718,359.11,5400,148.16
,152,THE NASIK MERCHANTS CO-OP BANK LTD.,10024,580.59,8445,747.53
,153,THE PANDHARPUR URBAN CO-OP BANK,702,54.43,140,11.59
,154,THE RAJASTHAN ST. COOP. BANK LTD,15867,1953.48,286872,720.04
,155,THE ROYAL BANK OF SCOTLAND N.V,159086,14013.18,68116,12505.61
,156,THE SAHEBRAO DESHMUKH COOP BANK LTD,1819,163.17,4255,238.95
,157,THE VARACHHA CO-OP. BANK LTD,3685,505.87,18383,409.65
,158,THE VISHWESHWAR SAHAKARI BANK LTD,5041,361.89,7841,542.98
,159,THE ZOROASTRIAN CO-OP BANK LTD,1581,107.06,2741,235.74
,160,TUMKUR GRAIN MERCHANTS COOP BANK,2646,140.23,1807,159.96
,161,The Gadchiroli Dist Co-Op Bank,2144,67.69,51815,129.93
,162,UCO BANK,477695,40912.49,1744722,48939.48
,163,UNION BANK OF INDIA,1531852,114493.02,3298015,181413.39
,164,UNITED BANK OF INDIA,780317,32328.37,1568131,47907.56
,165,UNITED OVERSEAS BANK LTD,122,17.13,62,38.99
,166,VASAI VIKAS SAHAKARI BANK LTD,1995,149.77,5622,328.39
,167,VIJAYA BANK,357775,25376.58,954357,42631.62
,168,WEST BENGAL STATE COOPERATIVE BANK,15635,491.62,84841,2161.86
,169,WESTPAC BANKING CORPORATION,240,303.08,19,285.33
,170,WOORI BANK,1341,1072.52,250,562.48
,171,YES BANK,4134572,139117.08,882085,162028.12
,172,ZILA SAHKARI BANK LTD GHAZIABAD,1060,85.40,3495,100.99
,,Total,117502585,7732543.43,117502585,7732543.43
,,Total (No. of transactions in mn and Amount in bn),117.50,7732.54,117.50,7732.54
