,,,,,,
,NATIONAL ELECTRONIC FUND TRANSFER (NEFT) - DECEMBER 2016,,,,,
,Sr. No.,BANK,TOTAL OUTWARD DEBITS,,RECEIVED INWARD CREDITS,
,,,NO. OF TRANSACTIONS,AMOUNT     (Rs. Million),NO. OF TRANSACTIONS,AMOUNT   (Rs. Million)
,150,THANE JANATA SAHAKARI BANK LTD,67896,6687.46,125685,6411.71
,151,THE A. P. MAHESH URBAN CO-OP BANK L,15451,1287.26,26787,1548.39
,152,THE AP STATE COOP BANK LTD,112951,5311.13,113439,4806.89
,153,THE GUJARAT STATE CO-OP BANK LTD,61962,4213.84,85836,6456.12
,154,THE HASTI CO-OP. BANK LTD.,3909,225.96,2408,207.32
,155,THE KANGRA CENTRAL COOP BANK LTD,36344,1297.89,43383,3459.01
,156,THE KANGRA CO OPERATIVE BANK LTD,4024,368.86,10407,218.18
,157,THE NASIK MERCHANTS CO-OP BANK LTD.,14809,813.49,14572,928.77
,158,THE PANDHARPUR URBAN CO-OP BANK,5638,209.65,1882,278.96
,159,THE RAJASTHAN ST. COOP. BANK LTD,31031,2102.06,203317,1552.58
,160,THE ROYAL BANK OF SCOTLAND N.V,2643,738.78,2544,436.42
,161,THE SAHEBRAO DESHMUKH COOP BANK LTD,3980,286.83,7981,368.78
,162,THE VARACHHA CO-OP. BANK LTD,15547,1136.70,17405,902.56
,163,THE VISHWESHWAR SAHAKARI BANK LTD,11361,726.16,18361,1374.93
,164,THE ZOROASTRIAN CO-OP BANK LTD,3068,485.19,4450,497.10
,165,TUMKUR GRAIN MERCHANTS COOP BANK,5358,287.06,4858,360.17
,166,The Gadchiroli Dist Co-Op Bank,8585,269.23,15097,366.21
,167,UCO BANK,770183,54179.85,2259107,73029.19
,168,UNION BANK OF INDIA,2401686,183843.30,4743520,248537.95
,169,UNITED BANK OF INDIA,998210,50969.74,2282102,78747.77
,170,UNITED OVERSEAS BANK LTD,117,111.05,151,75.55
,171,VASAI VIKAS SAHAKARI BANK LTD,4260,226.85,9594,422.72
,172,VIJAYA BANK,584146,67501.81,1458381,75437.37
,173,WEST BENGAL STATE COOPERATIVE BANK,38625,1346.42,122119,3737.86
,174,WESTPAC BANKING CORPORATION,332,958.17,41,358.23
,175,WOORI BANK,1454,933.22,397,1050.60
,176,YES BANK,7199690,235163.22,1387267,232542.14
,177,ZILA SAHKARI BANK LTD GHAZIABAD,4620,396.92,12870,183.14
,,TOTAL,166306956,11537633.14,166306956,11537633.14
,,Total (No. of transactions in mn and Amount in bn),166.31,11537.63,166.31,11537.63
