,,,,,,
,NATIONAL ELECTRONIC FUND TRANSFER (NEFT) - AUGUST 2016,,,,,
,Sr. No.,BANK,TOTAL OUTWARD DEBITS,,RECEIVED INWARD CREDITS,
,,,NO. OF TRANSACTIONS,AMOUNT (Rs. Million),NO. OF TRANSACTIONS,AMOUNT (Rs. Million)
,110,PUNJAB NATIONAL BANK,2576540,186182.81,6441539,298245.05
,111,Pragathi Krishna Gramin Bank,140272,5527.19,181468,3526.80
,112,RABOBANK INTERNATIONAL,1289,1239.97,358,1302.68
,113,RAJGURUNAGAR SAHAKARI BANK LTD,3407,194.41,4152,166.18
,114,RAJKOT NAGARIK SAHAKARI BANK LTD,4766,328.57,11441,580.64
,115,"RBI,PAD",5898700,479994.34,28921,75328.00
,116,RBL BANK LTD,431077,22751.87,137967,36831.80
,117,SAMARTH SAHAKARI BANK LTD SOLAPUR,1104,67.38,150,23.34
,118,SARASWAT CO-OP BANK LTD.,141637,12450.18,272999,22952.27
,119,SBER BANK,87,83.30,39,32.81
,120,SEVA VIKAS COOPERATIVE BANK LTD,3731,211.06,7600,937.02
,121,SHAMRAO VITHAL CO-OP BANK LTD,81152,6628.94,139325,10061.82
,122,SHIKSHAK SAHAKARI BANK LTD,2096,2615.77,2702,223.00
,123,SHINHAN BANK,12474,2825.45,5651,3761.73
,124,SHIVALIK MERCANTILE CO-OP BANK,3175,246.63,1013,46.42
,125,SHRI CHHATRAPATI SHAHU URBAN COOP B,3542,197.70,1412,207.53
,126,SOCIETE GENERALE,4874,2853.29,625,1960.63
,127,SOLAPUR JANATA SAHAKARI BANK LTD,3756,683.69,8957,378.91
,128,SOUTH INDIAN BANK,336705,28740.01,502756,31727.16
,129,STANDARD CHARTERED BANK,2698815,282806.08,920580,232702.39
,130,STATE BANK OF BIKANER AND JAIPUR,4727773,42011.24,1526025,40514.94
,131,STATE BANK OF HYDERABAD,2547271,77853.05,1526042,77962.16
,132,STATE BANK OF INDIA,17173994,1267287.12,23108588,1164544.61
,133,STATE BANK OF MAURITIUS,541,123.75,443,574.98
,134,STATE BANK OF MYSORE,442194,32470.80,895209,44026.08
,135,STATE BANK OF PATIALA,620066,45594.53,635423,37505.32
,136,STATE BANK OF TRAVANCORE,852136,50788.06,1559200,59646.09
,137,SUMITOMO MITSUI BANKING CORPORATION,3503,5571.88,447,3067.51
,138,SURAT DISTRICT COOPERATIVE BANK Ltd,2763,226.61,7728,499.46
,139,SURAT NATIONAL CO-OP BANK LTD,1310,138.05,1811,119.17
,140,SURAT PEOPLES COOPERATIVE BANK,5831,404.62,17402,1000.15
,141,SUTEX COOP BANK,2734,180.22,8752,358.01
,142,SYNDICATE BANK,787581,87989.57,1941405,109852.85
,143,TAMIL NADU STATE APEX COOP BANK,29425,1277.08,23960,1604.70
,144,TAMILNADU MERCANTILE BANK,237739,19662.64,327913,21150.37
,145,THANE BHARAT SAHAKARI BANK LTD,3044,684.49,9859,571.95
,146,THANE DISTRICT CENTRAL COOP BANK LT,6726,1762.59,18533,918.30
,147,THANE JANATA SAHAKARI BANK LTD,36323,2788.55,82097,5395.22
,148,THE A. P. MAHESH URBAN CO-OP BANK L,6537,1925.19,11461,768.45
,149,THE AP STATE COOP BANK LTD,19918,1261.61,26025,2556.13
,150,THE GUJARAT STATE CO-OP BANK LTD,17903,1805.06,38998,6969.82
,151,THE HASTI CO-OP. BANK LTD.,1735,109.04,508,34.41
,152,THE KANGRA CENTRAL COOP BANK LTD,18070,556.73,31963,1786.05
,153,THE KANGRA CO OPERATIVE BANK LTD,1723,325.92,5981,171.70
,154,THE NASIK MERCHANTS CO-OP BANK LTD.,8534,573.52,9209,571.57
,155,THE PANDHARPUR URBAN CO-OP BANK,914,56.95,303,48.86
,156,THE RAJASTHAN ST. COOP. BANK LTD,14602,1352.22,205779,879.80
,157,THE ROYAL BANK OF SCOTLAND N.V,64460,8425.65,25643,4135.83
,158,THE SAHEBRAO DESHMUKH COOP BANK LTD,2080,191.43,4991,241.51
,159,THE VARACHHA CO-OP. BANK LTD,3728,806.86,25002,477.29
,160,THE VISHWESHWAR SAHAKARI BANK LTD,5201,573.00,9210,676.53
,161,THE ZOROASTRIAN CO-OP BANK LTD,1795,126.60,2838,211.93
,162,TUMKUR GRAIN MERCHANTS COOP BANK,3002,189.67,2280,188.44
,163,The Gadchiroli Dist Co-Op Bank,3030,67.16,7006,89.44
,164,UCO BANK,513280,50826.01,1709421,74935.99
,165,UNION BANK OF INDIA,1582086,146138.76,3381758,263353.31
,166,UNITED BANK OF INDIA,1014242,36988.47,1898639,60276.45
,167,UNITED OVERSEAS BANK LTD,135,1167.50,106,33.82
,168,VASAI VIKAS SAHAKARI BANK LTD,2159,152.55,6556,340.03
,169,VIJAYA BANK,337264,33847.22,935618,52562.35
,170,WEST BENGAL STATE COOPERATIVE BANK,18904,541.79,108144,3125.33
,171,WESTPAC BANKING CORPORATION,306,45.48,24,25.67
,172,WOORI BANK,950,224.91,276,489.21
,173,YES BANK,4568720,176734.44,955673,163507.36
,174,ZILA SAHKARI BANK LTD GHAZIABAD,978,104.37,5382,110.38
,,Total,118556378,8764139.66,118556378,8764139.66
,,Total (No. of transactions in mn and Amount in bn),118.56,8764.14,118.56,8764.14
