,BANK,ADDRESS,CITY,DISTRICT,STATE,lat,lon
38,ICICI BANK LIMITED,DHANLAXMI TAHARABAD RD.SATANA NASHIK MAHARASHTRA - 423301,SATANA,NASIK,MAHARASHTRA,20.5979002,74.2004693
41,ICICI BANK LIMITED,SCF NO-75 SECTOR 10 PANCHKULA,PANCHKULA,PANCHKULA,HARYANA,30.690269,76.84913999999999
42,ICICI BANK LIMITED,"THASRA-388 250,DIST-KAIRA,GUJARAT.",THASRA,KHEDA,GUJARAT,22.8025613,73.2205065
45,ICICI BANK LIMITED,APMC ROAD GADAG-582101,GADAG,GADAG,KARNATAKA,15.427523,75.6390413
47,ICICI BANK LIMITED,UMARAMESHWAR ROAD JAMKHANDI-587301,AHMADNAGAR,AHMADNAGAR,MAHARASHTRA,16.5058303,75.2908185
51,ICICI BANK LIMITED,D.NO.4 1 14 CANAL ROAD AGRAHARAM ELURU 534001,ELURU,WEST GODAVARI,ANDHRA PRADESH,16.7093629,81.10698450000001
53,ICICI BANK LIMITED,"THE BHAGYODAYA COOPERATIVE BANK LTD. NAVA MADHAVPURA, NR. DELHI DARWAJA, AHMEDABAD 380004",AHMEDABAD,AHMADABAD,GUJARAT,23.0577337,72.59294009999999
57,ICICI BANK LIMITED,KALA MARUTI CHOWK MAIN ROAD OSMANABAD-413501,OSMANABAD,OSMANABAD,MAHARASHTRA,18.1820335,76.0401079
58,ICICI BANK LIMITED,"BANK ROAD SINDAGI,BIJAPUR,KARNATAKA-586128",SINDGI,BIJAPUR,KARNATAKA,16.9595459,76.15408049999999
64,ICICI BANK LIMITED,"2 ANTROLIKAR SHOPPING CENTRE, DATTA CHOWK, SOLAPUR",SOLAPUR,SOLAPUR,MAHARASHTRA,17.6766426,75.9044189
70,ICICI BANK LIMITED,"BANSI ROAD, PIPRI BAZAR, SIDDHARTHANAGAR, 272001",SIDHARTHANAGAR,SIDHARTHANAGAR,UTTAR PRADESH,27.2884357,83.082937
71,ICICI BANK LIMITED,TALUK PAITHAN 431107 DIST AURANGABAD,PAITHAN,AURANGABAD,MAHARASHTRA,19.48,75.38
72,ICICI BANK LIMITED,S S ROAD BIJAPUR KARNATAKA 586101,BIJAPUR,BIJAPUR,KARNATAKA,16.8331524,75.71795
73,ICICI BANK LIMITED,"SARDAR PATEL ROAD,  SEVALIA 388245",SEVALIA R.S.,KHEDA,GUJARAT,22.810075,73.344343
74,ICICI BANK LIMITED,"207,8,9 GOLD FINCH PETH SOLAPUR 413007",SOLAPUR,SOLAPUR,MAHARASHTRA,17.676304,75.902948
79,ICICI BANK LIMITED,RAVI BHAWAN JAISTAMBH CHOWK RAIPUR C.G.-492001,RAIPUR,RAIPUR,CHHATTISGARH,21.2432218,81.6351728
81,ICICI BANK LIMITED,SUVIDHA CHANDULAL BUCH MARG RAJKOT 360001,RAJKOT,RAJKOT,GUJARAT,22.2985311,70.8024317
